UID          PID    PPID  C STIME TTY          TIME CMD
isaac       1375     931  0 20:42 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
isaac       1380     931  0 20:42 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
isaac       1400    1069  0 20:42 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
isaac       1411     931  0 20:42 ?        00:00:00 /usr/libexec/gvfsd-metadata
isaac       1438     931  0 20:42 ?        00:00:00 /usr/libexec/bluetooth/obexd
isaac       1450       1  0 20:42 ?        00:00:01 /usr/bin/qterminal
isaac       1453    1450  0 20:42 pts/0    00:00:00 /usr/bin/zsh
root        4061       2  0 20:48 ?        00:00:00 [kworker/2:0-events]
root        5086       2  0 20:50 ?        00:00:00 [kworker/0:2-events]
isaac       6165     931  0 20:52 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
isaac       6852    1453 50 20:53 pts/0    00:00:00 ps -ef
